Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
83	48	0	0.894639449	101324.98	101323.161	101313.377	101326.309	12.9321283	0	0	0	50861.8	0	0	3
84	49	0	0.905418237	101325.053	101323.41	101315.048	101326.309	11.260683	0	0	0	50895.4	0	0	3
85	49	0	0.916197026	101325.116	101323.624	101319.411	101326.309	6.89809638	0	0	0	50915.5	0	0	3
86	49	0	0.926975814	101325.186	101323.743	101319.411	101326.309	6.89809638	0	0	0	50992.8	0	0	3
87	50	0	0.937754603	101325.244	101323.777	101319.411	101326.309	6.89809638	0	0	0	51046.1	0	0	3
88	50	0	0.948533392	101325.292	101323.756	101319.411	101326.193	6.78203644	0	0	0	51091.4	0	0	3
89	51	0	0.95931218	101325.336	101323.737	101319.411	101325.336	5.92512536	0	0	0	51037.2	0	0	3
90	51	0	0.970090969	101325.365	101323.743	101319.411	101325.365	5.95411967	0	0	0	51006.6	0	0	3
91	52	0	0.980869757	101325.393	101323.781	101319.411	101325.393	5.98184633	0	0	0	51021.6	0	0	3
92	52	0	0.991648546	101325.41	101323.85	101319.411	101325.41	5.99897389	0	0	0	51146.7	0	0	3
93	53	0	1.00242733	101325.43	101323.946	101319.411	101325.43	6.01931243	6.49063387	0	0	51251.5	0	0	3
